,date,start_of_the_year,start_of_the_quarter,start_of_the_month
201,2012-07-20,2012-01-01,2012-07-01,2012-07-01
202,2012-07-21,2012-01-01,2012-07-01,2012-07-01
203,2012-07-22,2012-01-01,2012-07-01,2012-07-01
204,2012-07-23,2012-01-01,2012-07-01,2012-07-01
205,2012-07-24,2012-01-01,2012-07-01,2012-07-01
206,2012-07-25,2012-01-01,2012-07-01,2012-07-01
207,2012-07-26,2012-01-01,2012-07-01,2012-07-01
208,2012-07-27,2012-01-01,2012-07-01,2012-07-01
209,2012-07-28,2012-01-01,2012-07-01,2012-07-01
210,2012-07-29,2012-01-01,2012-07-01,2012-07-01
211,2012-07-30,2012-01-01,2012-07-01,2012-07-01
212,2012-07-31,2012-01-01,2012-07-01,2012-07-01
213,2012-08-01,2012-01-01,2012-07-01,2012-08-01
214,2012-08-02,2012-01-01,2012-07-01,2012-08-01
215,2012-08-03,2012-01-01,2012-07-01,2012-08-01
216,2012-08-04,2012-01-01,2012-07-01,2012-08-01
217,2012-08-05,2012-01-01,2012-07-01,2012-08-01
218,2012-08-06,2012-01-01,2012-07-01,2012-08-01
219,2012-08-07,2012-01-01,2012-07-01,2012-08-01
220,2012-08-08,2012-01-01,2012-07-01,2012-08-01
221,2012-08-09,2012-01-01,2012-07-01,2012-08-01
222,2012-08-10,2012-01-01,2012-07-01,2012-08-01
223,2012-08-11,2012-01-01,2012-07-01,2012-08-01
224,2012-08-12,2012-01-01,2012-07-01,2012-08-01
225,2012-08-13,2012-01-01,2012-07-01,2012-08-01
226,2012-08-14,2012-01-01,2012-07-01,2012-08-01
227,2012-08-15,2012-01-01,2012-07-01,2012-08-01
228,2012-08-16,2012-01-01,2012-07-01,2012-08-01
229,2012-08-17,2012-01-01,2012-07-01,2012-08-01
230,2012-08-18,2012-01-01,2012-07-01,2012-08-01
231,2012-08-19,2012-01-01,2012-07-01,2012-08-01
232,2012-08-20,2012-01-01,2012-07-01,2012-08-01
233,2012-08-21,2012-01-01,2012-07-01,2012-08-01
234,2012-08-22,2012-01-01,2012-07-01,2012-08-01
235,2012-08-23,2012-01-01,2012-07-01,2012-08-01
236,2012-08-24,2012-01-01,2012-07-01,2012-08-01
237,2012-08-25,2012-01-01,2012-07-01,2012-08-01
238,2012-08-26,2012-01-01,2012-07-01,2012-08-01
239,2012-08-27,2012-01-01,2012-07-01,2012-08-01
240,2012-08-28,2012-01-01,2012-07-01,2012-08-01
241,2012-08-29,2012-01-01,2012-07-01,2012-08-01
242,2012-08-30,2012-01-01,2012-07-01,2012-08-01
243,2012-08-31,2012-01-01,2012-07-01,2012-08-01
244,2012-09-01,2012-01-01,2012-07-01,2012-09-01
245,2012-09-02,2012-01-01,2012-07-01,2012-09-01
246,2012-09-03,2012-01-01,2012-07-01,2012-09-01
247,2012-09-04,2012-01-01,2012-07-01,2012-09-01
248,2012-09-05,2012-01-01,2012-07-01,2012-09-01
249,2012-09-06,2012-01-01,2012-07-01,2012-09-01
250,2012-09-07,2012-01-01,2012-07-01,2012-09-01
251,2012-09-08,2012-01-01,2012-07-01,2012-09-01
252,2012-09-09,2012-01-01,2012-07-01,2012-09-01
253,2012-09-10,2012-01-01,2012-07-01,2012-09-01
254,2012-09-11,2012-01-01,2012-07-01,2012-09-01
255,2012-09-12,2012-01-01,2012-07-01,2012-09-01
256,2012-09-13,2012-01-01,2012-07-01,2012-09-01
257,2012-09-14,2012-01-01,2012-07-01,2012-09-01
258,2012-09-15,2012-01-01,2012-07-01,2012-09-01
259,2012-09-16,2012-01-01,2012-07-01,2012-09-01
260,2012-09-17,2012-01-01,2012-07-01,2012-09-01
261,2012-09-18,2012-01-01,2012-07-01,2012-09-01
262,2012-09-19,2012-01-01,2012-07-01,2012-09-01
263,2012-09-20,2012-01-01,2012-07-01,2012-09-01
264,2012-09-21,2012-01-01,2012-07-01,2012-09-01
265,2012-09-22,2012-01-01,2012-07-01,2012-09-01
266,2012-09-23,2012-01-01,2012-07-01,2012-09-01
267,2012-09-24,2012-01-01,2012-07-01,2012-09-01
268,2012-09-25,2012-01-01,2012-07-01,2012-09-01
269,2012-09-26,2012-01-01,2012-07-01,2012-09-01
270,2012-09-27,2012-01-01,2012-07-01,2012-09-01
271,2012-09-28,2012-01-01,2012-07-01,2012-09-01
272,2012-09-29,2012-01-01,2012-07-01,2012-09-01
273,2012-09-30,2012-01-01,2012-07-01,2012-09-01
274,2012-10-01,2012-01-01,2012-10-01,2012-10-01
275,2012-10-02,2012-01-01,2012-10-01,2012-10-01
276,2012-10-03,2012-01-01,2012-10-01,2012-10-01
277,2012-10-04,2012-01-01,2012-10-01,2012-10-01
278,2012-10-05,2012-01-01,2012-10-01,2012-10-01
279,2012-10-06,2012-01-01,2012-10-01,2012-10-01
280,2012-10-07,2012-01-01,2012-10-01,2012-10-01
281,2012-10-08,2012-01-01,2012-10-01,2012-10-01
282,2012-10-09,2012-01-01,2012-10-01,2012-10-01
283,2012-10-10,2012-01-01,2012-10-01,2012-10-01
284,2012-10-11,2012-01-01,2012-10-01,2012-10-01
285,2012-10-12,2012-01-01,2012-10-01,2012-10-01
286,2012-10-13,2012-01-01,2012-10-01,2012-10-01
287,2012-10-14,2012-01-01,2012-10-01,2012-10-01
288,2012-10-15,2012-01-01,2012-10-01,2012-10-01
289,2012-10-16,2012-01-01,2012-10-01,2012-10-01
290,2012-10-17,2012-01-01,2012-10-01,2012-10-01
291,2012-10-18,2012-01-01,2012-10-01,2012-10-01
292,2012-10-19,2012-01-01,2012-10-01,2012-10-01
293,2012-10-20,2012-01-01,2012-10-01,2012-10-01
294,2012-10-21,2012-01-01,2012-10-01,2012-10-01
295,2012-10-22,2012-01-01,2012-10-01,2012-10-01
296,2012-10-23,2012-01-01,2012-10-01,2012-10-01
297,2012-10-24,2012-01-01,2012-10-01,2012-10-01
298,2012-10-25,2012-01-01,2012-10-01,2012-10-01
299,2012-10-26,2012-01-01,2012-10-01,2012-10-01
300,2012-10-27,2012-01-01,2012-10-01,2012-10-01
301,2012-10-28,2012-01-01,2012-10-01,2012-10-01
302,2012-10-29,2012-01-01,2012-10-01,2012-10-01
303,2012-10-30,2012-01-01,2012-10-01,2012-10-01
304,2012-10-31,2012-01-01,2012-10-01,2012-10-01
305,2012-11-01,2012-01-01,2012-10-01,2012-11-01
306,2012-11-02,2012-01-01,2012-10-01,2012-11-01
307,2012-11-03,2012-01-01,2012-10-01,2012-11-01
308,2012-11-04,2012-01-01,2012-10-01,2012-11-01
309,2012-11-05,2012-01-01,2012-10-01,2012-11-01
310,2012-11-06,2012-01-01,2012-10-01,2012-11-01
311,2012-11-07,2012-01-01,2012-10-01,2012-11-01
312,2012-11-08,2012-01-01,2012-10-01,2012-11-01
313,2012-11-09,2012-01-01,2012-10-01,2012-11-01
314,2012-11-10,2012-01-01,2012-10-01,2012-11-01
315,2012-11-11,2012-01-01,2012-10-01,2012-11-01
316,2012-11-12,2012-01-01,2012-10-01,2012-11-01
317,2012-11-13,2012-01-01,2012-10-01,2012-11-01
318,2012-11-14,2012-01-01,2012-10-01,2012-11-01
319,2012-11-15,2012-01-01,2012-10-01,2012-11-01
320,2012-11-16,2012-01-01,2012-10-01,2012-11-01
321,2012-11-17,2012-01-01,2012-10-01,2012-11-01
322,2012-11-18,2012-01-01,2012-10-01,2012-11-01
323,2012-11-19,2012-01-01,2012-10-01,2012-11-01
324,2012-11-20,2012-01-01,2012-10-01,2012-11-01
325,2012-11-21,2012-01-01,2012-10-01,2012-11-01
326,2012-11-22,2012-01-01,2012-10-01,2012-11-01
327,2012-11-23,2012-01-01,2012-10-01,2012-11-01
328,2012-11-24,2012-01-01,2012-10-01,2012-11-01
329,2012-11-25,2012-01-01,2012-10-01,2012-11-01
330,2012-11-26,2012-01-01,2012-10-01,2012-11-01
331,2012-11-27,2012-01-01,2012-10-01,2012-11-01
332,2012-11-28,2012-01-01,2012-10-01,2012-11-01
333,2012-11-29,2012-01-01,2012-10-01,2012-11-01
334,2012-11-30,2012-01-01,2012-10-01,2012-11-01
335,2012-12-01,2012-01-01,2012-10-01,2012-12-01
336,2012-12-02,2012-01-01,2012-10-01,2012-12-01
337,2012-12-03,2012-01-01,2012-10-01,2012-12-01
338,2012-12-04,2012-01-01,2012-10-01,2012-12-01
339,2012-12-05,2012-01-01,2012-10-01,2012-12-01
340,2012-12-06,2012-01-01,2012-10-01,2012-12-01
341,2012-12-07,2012-01-01,2012-10-01,2012-12-01
342,2012-12-08,2012-01-01,2012-10-01,2012-12-01
343,2012-12-09,2012-01-01,2012-10-01,2012-12-01
344,2012-12-10,2012-01-01,2012-10-01,2012-12-01
345,2012-12-11,2012-01-01,2012-10-01,2012-12-01
346,2012-12-12,2012-01-01,2012-10-01,2012-12-01
347,2012-12-13,2012-01-01,2012-10-01,2012-12-01
348,2012-12-14,2012-01-01,2012-10-01,2012-12-01
349,2012-12-15,2012-01-01,2012-10-01,2012-12-01
350,2012-12-16,2012-01-01,2012-10-01,2012-12-01
351,2012-12-17,2012-01-01,2012-10-01,2012-12-01
352,2012-12-18,2012-01-01,2012-10-01,2012-12-01
353,2012-12-19,2012-01-01,2012-10-01,2012-12-01
354,2012-12-20,2012-01-01,2012-10-01,2012-12-01
355,2012-12-21,2012-01-01,2012-10-01,2012-12-01
356,2012-12-22,2012-01-01,2012-10-01,2012-12-01
357,2012-12-23,2012-01-01,2012-10-01,2012-12-01
358,2012-12-24,2012-01-01,2012-10-01,2012-12-01
359,2012-12-25,2012-01-01,2012-10-01,2012-12-01
360,2012-12-26,2012-01-01,2012-10-01,2012-12-01
361,2012-12-27,2012-01-01,2012-10-01,2012-12-01
362,2012-12-28,2012-01-01,2012-10-01,2012-12-01
363,2012-12-29,2012-01-01,2012-10-01,2012-12-01
364,2012-12-30,2012-01-01,2012-10-01,2012-12-01
365,2012-12-31,2012-01-01,2012-10-01,2012-12-01
366,2013-01-01,2013-01-01,2013-01-01,2013-01-01
367,2013-01-02,2013-01-01,2013-01-01,2013-01-01
368,2013-01-03,2013-01-01,2013-01-01,2013-01-01
369,2013-01-04,2013-01-01,2013-01-01,2013-01-01
370,2013-01-05,2013-01-01,2013-01-01,2013-01-01
371,2013-01-06,2013-01-01,2013-01-01,2013-01-01
372,2013-01-07,2013-01-01,2013-01-01,2013-01-01
373,2013-01-08,2013-01-01,2013-01-01,2013-01-01
374,2013-01-09,2013-01-01,2013-01-01,2013-01-01
375,2013-01-10,2013-01-01,2013-01-01,2013-01-01
376,2013-01-11,2013-01-01,2013-01-01,2013-01-01
377,2013-01-12,2013-01-01,2013-01-01,2013-01-01
378,2013-01-13,2013-01-01,2013-01-01,2013-01-01
379,2013-01-14,2013-01-01,2013-01-01,2013-01-01
380,2013-01-15,2013-01-01,2013-01-01,2013-01-01
381,2013-01-16,2013-01-01,2013-01-01,2013-01-01
382,2013-01-17,2013-01-01,2013-01-01,2013-01-01
383,2013-01-18,2013-01-01,2013-01-01,2013-01-01
384,2013-01-19,2013-01-01,2013-01-01,2013-01-01
385,2013-01-20,2013-01-01,2013-01-01,2013-01-01
386,2013-01-21,2013-01-01,2013-01-01,2013-01-01
387,2013-01-22,2013-01-01,2013-01-01,2013-01-01
388,2013-01-23,2013-01-01,2013-01-01,2013-01-01
389,2013-01-24,2013-01-01,2013-01-01,2013-01-01
390,2013-01-25,2013-01-01,2013-01-01,2013-01-01
391,2013-01-26,2013-01-01,2013-01-01,2013-01-01
392,2013-01-27,2013-01-01,2013-01-01,2013-01-01
393,2013-01-28,2013-01-01,2013-01-01,2013-01-01
394,2013-01-29,2013-01-01,2013-01-01,2013-01-01
395,2013-01-30,2013-01-01,2013-01-01,2013-01-01
396,2013-01-31,2013-01-01,2013-01-01,2013-01-01
397,2013-02-01,2013-01-01,2013-01-01,2013-02-01
398,2013-02-02,2013-01-01,2013-01-01,2013-02-01
399,2013-02-03,2013-01-01,2013-01-01,2013-02-01
400,2013-02-04,2013-01-01,2013-01-01,2013-02-01
401,2013-02-05,2013-01-01,2013-01-01,2013-02-01
402,2013-02-06,2013-01-01,2013-01-01,2013-02-01
403,2013-02-07,2013-01-01,2013-01-01,2013-02-01
404,2013-02-08,2013-01-01,2013-01-01,2013-02-01
405,2013-02-09,2013-01-01,2013-01-01,2013-02-01
406,2013-02-10,2013-01-01,2013-01-01,2013-02-01
407,2013-02-11,2013-01-01,2013-01-01,2013-02-01
408,2013-02-12,2013-01-01,2013-01-01,2013-02-01
409,2013-02-13,2013-01-01,2013-01-01,2013-02-01
410,2013-02-14,2013-01-01,2013-01-01,2013-02-01
411,2013-02-15,2013-01-01,2013-01-01,2013-02-01
412,2013-02-16,2013-01-01,2013-01-01,2013-02-01
413,2013-02-17,2013-01-01,2013-01-01,2013-02-01
414,2013-02-18,2013-01-01,2013-01-01,2013-02-01
415,2013-02-19,2013-01-01,2013-01-01,2013-02-01
416,2013-02-20,2013-01-01,2013-01-01,2013-02-01
417,2013-02-21,2013-01-01,2013-01-01,2013-02-01
418,2013-02-22,2013-01-01,2013-01-01,2013-02-01
419,2013-02-23,2013-01-01,2013-01-01,2013-02-01
420,2013-02-24,2013-01-01,2013-01-01,2013-02-01
421,2013-02-25,2013-01-01,2013-01-01,2013-02-01
422,2013-02-26,2013-01-01,2013-01-01,2013-02-01
423,2013-02-27,2013-01-01,2013-01-01,2013-02-01
424,2013-02-28,2013-01-01,2013-01-01,2013-02-01
425,2013-03-01,2013-01-01,2013-01-01,2013-03-01
426,2013-03-02,2013-01-01,2013-01-01,2013-03-01
427,2013-03-03,2013-01-01,2013-01-01,2013-03-01
428,2013-03-04,2013-01-01,2013-01-01,2013-03-01
429,2013-03-05,2013-01-01,2013-01-01,2013-03-01
430,2013-03-06,2013-01-01,2013-01-01,2013-03-01
431,2013-03-07,2013-01-01,2013-01-01,2013-03-01
432,2013-03-08,2013-01-01,2013-01-01,2013-03-01
433,2013-03-09,2013-01-01,2013-01-01,2013-03-01
434,2013-03-10,2013-01-01,2013-01-01,2013-03-01
435,2013-03-11,2013-01-01,2013-01-01,2013-03-01
436,2013-03-12,2013-01-01,2013-01-01,2013-03-01
437,2013-03-13,2013-01-01,2013-01-01,2013-03-01
438,2013-03-14,2013-01-01,2013-01-01,2013-03-01
439,2013-03-15,2013-01-01,2013-01-01,2013-03-01
440,2013-03-16,2013-01-01,2013-01-01,2013-03-01
441,2013-03-17,2013-01-01,2013-01-01,2013-03-01
442,2013-03-18,2013-01-01,2013-01-01,2013-03-01
443,2013-03-19,2013-01-01,2013-01-01,2013-03-01
444,2013-03-20,2013-01-01,2013-01-01,2013-03-01
445,2013-03-21,2013-01-01,2013-01-01,2013-03-01
446,2013-03-22,2013-01-01,2013-01-01,2013-03-01
447,2013-03-23,2013-01-01,2013-01-01,2013-03-01
448,2013-03-24,2013-01-01,2013-01-01,2013-03-01
449,2013-03-25,2013-01-01,2013-01-01,2013-03-01
450,2013-03-26,2013-01-01,2013-01-01,2013-03-01
451,2013-03-27,2013-01-01,2013-01-01,2013-03-01
452,2013-03-28,2013-01-01,2013-01-01,2013-03-01
453,2013-03-29,2013-01-01,2013-01-01,2013-03-01
454,2013-03-30,2013-01-01,2013-01-01,2013-03-01
455,2013-03-31,2013-01-01,2013-01-01,2013-03-01
456,2013-04-01,2013-01-01,2013-04-01,2013-04-01
457,2013-04-02,2013-01-01,2013-04-01,2013-04-01
458,2013-04-03,2013-01-01,2013-04-01,2013-04-01
459,2013-04-04,2013-01-01,2013-04-01,2013-04-01
460,2013-04-05,2013-01-01,2013-04-01,2013-04-01
461,2013-04-06,2013-01-01,2013-04-01,2013-04-01
462,2013-04-07,2013-01-01,2013-04-01,2013-04-01
463,2013-04-08,2013-01-01,2013-04-01,2013-04-01
