,loyalty_number,country,province,city,postal_code,gender,education,salary,marital_status,loyalty_card,customer_lifetime_value,enrollment_type,enrollment_year,enrollment_month,cancellation_year,cancellation_month
60,124678,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Doctor,152955.0,Married,Star,,Standard,,,,
61,186015,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,152955.0,Married,Star,,Standard,,,,
62,461108,Canada,Quebec,Montreal,H2T 9K8,Male,Doctor,152955.0,Married,Star,,Standard,,,,
63,589580,Canada,British Columbia,Whistler,V6T 1Y8,Male,Doctor,152955.0,Married,Star,,Standard,,,,
64,623688,Canada,Ontario,London,M5B 3E4,Female,Doctor,152955.0,Married,Star,,Standard,,,,
65,386082,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,30486.0,Divorced,Aurora,,2018 Promotion,,,2018.0,
66,256147,Canada,Ontario,Toronto,M1R 4K3,Female,College,,Married,Star,,Standard,,,,
67,329382,Canada,Quebec,Montreal,H2T 9K8,Male,College,,Single,Star,,Standard,,,,
68,140392,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,96814.0,Married,Star,,Standard,,,,
69,112522,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,49846.0,Married,Aurora,,2018 Promotion,,,,
70,230908,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,217538.0,Divorced,Star,,Standard,,,,
71,972581,Canada,British Columbia,Vancouver,V5R 1W3,Male,High School or Below,48744.0,Married,Star,,Standard,,,,
72,357549,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,76410.0,Single,Star,,Standard,,,,
73,330694,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,105053.0,Married,Aurora,,2018 Promotion,,,,
74,910875,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,84914.0,Married,Star,,Standard,,,,
75,501704,Canada,Quebec,Hull,J8Y 3Z5,Male,College,,Divorced,Star,,Standard,,,,
76,529098,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,,Divorced,Star,,Standard,,,,
77,265297,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,60519.0,Married,Star,,Standard,,,,
78,567875,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,102457.0,Married,Star,,Standard,,,,
79,688524,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,103862.0,Married,Star,,Standard,,,,
80,269070,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Master,93153.0,Married,Star,,Standard,,,,
81,387705,Canada,Quebec,Hull,J8Y 3Z5,Female,Master,93153.0,Married,Star,,Standard,,,,
82,923293,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,86793.0,Divorced,Star,,Standard,,,,
83,283314,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,72127.0,Married,Star,,Standard,,,2015.0,
84,322102,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,,Married,Star,,Standard,,,2014.0,
85,789157,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,,Single,Star,,Standard,,,,
86,654748,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,65721.0,Married,Star,,Standard,,,2017.0,
87,984713,Canada,Ontario,Sudbury,M5V 1G5,Female,College,,Single,Star,,Standard,,,,
88,114835,Canada,Ontario,Toronto,M1R 4K3,Female,Master,101354.0,Divorced,Star,,Standard,,,,
89,328936,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,53118.0,Married,Star,,Standard,,,,
90,845864,Canada,British Columbia,Vancouver,V5R 1W3,Female,Doctor,115440.0,Married,Star,,Standard,,,,
91,645265,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,73313.0,Married,Star,,Standard,,,,
92,223587,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,100167.0,Married,Star,,Standard,,,,
93,158560,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,59262.0,Married,Star,,Standard,,,,
94,417584,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,59262.0,Married,Star,,Standard,,,,
95,566033,Canada,Ontario,Toronto,M2P 4F6,Male,College,,Married,Star,,Standard,,,2016.0,
96,472521,Canada,Alberta,Edmonton,T9G 1W3,Male,College,,Married,Aurora,,2018 Promotion,,,,
97,425854,Canada,Ontario,Toronto,P1J 8T7,Female,High School or Below,39079.0,Married,Star,,Standard,,,,
98,174896,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,,Single,Star,,Standard,,,2015.0,
99,695855,Canada,Quebec,Montreal,H2T 2J6,Female,College,,Divorced,Star,,Standard,,,,
100,699511,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,College,,Divorced,Star,,Standard,,,,
101,377322,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,62518.0,Married,Star,,Standard,,,,
102,511053,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,62518.0,Married,Star,,Standard,,,,
103,890753,Canada,Quebec,Montreal,H2Y 2W2,Male,College,,Married,Star,,Standard,,,,
104,796670,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,47536.0,Married,Star,,Standard,,,,
105,556136,Canada,Quebec,Montreal,H4G 3T4,Female,College,,Married,Star,,Standard,,,,
106,513081,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,98320.0,Married,Star,,Standard,,,,
107,930718,Canada,Quebec,Montreal,H2T 2J6,Female,High School or Below,63577.0,Married,Star,,Standard,,,,
108,235872,Canada,Ontario,Toronto,P1J 8T7,Female,Doctor,89057.0,Single,Star,,Standard,,,,
109,881142,Canada,British Columbia,Vancouver,V1E 4R6,Female,Doctor,89057.0,Single,Star,,Standard,,,2017.0,
110,295147,Canada,British Columbia,Kelowna,V09 2E9,Male,Bachelor,99814.0,Married,Star,,Standard,,,,
111,306110,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,64587.0,Married,Star,,Standard,,,,
112,295217,Canada,Ontario,Toronto,M1R 4K3,Female,Doctor,67411.0,Divorced,Star,,Standard,,,,
113,967300,Canada,Alberta,Edmonton,T9G 1W3,Male,Bachelor,62630.0,Single,Aurora,,2018 Promotion,,,2018.0,
114,591731,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,51370.0,Married,Star,,Standard,,,,
115,326905,Canada,British Columbia,Vancouver,V5R 1W3,Female,College,,Married,Star,,Standard,,,,
116,375511,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,59300.0,Single,Star,,Standard,,,,6.0
117,485283,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,102479.0,Single,Star,,Standard,,,,
118,920716,Canada,Alberta,Peace River,T9O 2W2,Female,College,,Single,Aurora,,2018 Promotion,,,,
119,797685,Canada,Alberta,Edmonton,T3G 6Y6,Male,College,,Married,Star,,Standard,,,,
120,216467,Canada,New Brunswick,Fredericton,E3B 2H2,Male,Doctor,90995.0,Married,Star,,Standard,,,,
121,958839,Canada,Quebec,Montreal,H4G 3T4,Male,Doctor,90995.0,Married,Star,,Standard,,,,
122,539673,Canada,Ontario,Toronto,P5S 6R4,Female,Bachelor,49558.0,Married,Star,,Standard,,,2018.0,
123,746226,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,63501.0,Married,Star,,Standard,,,,
124,484718,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,76367.0,Single,Star,,Standard,,,,
125,528492,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,60360.0,Married,Star,,Standard,,,2018.0,
126,995091,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,55454.0,Married,Star,,Standard,,,,
127,632793,Canada,Quebec,Hull,J8Y 3Z5,Female,High School or Below,60370.0,Single,Star,,Standard,,,,
128,912220,Canada,British Columbia,Vancouver,V6E 3Z3,Male,High School or Below,60370.0,Single,Star,,Standard,,,2014.0,
129,382197,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,69367.0,Married,Star,,Standard,,,2018.0,
130,705196,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,,Single,Star,,Standard,,,,
131,123094,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,92223.0,Married,Star,,Standard,,,,
132,366540,Canada,Alberta,Calgary,T3E 2V9,Female,Bachelor,90077.0,Married,Aurora,,2018 Promotion,,,,
133,119488,Canada,Quebec,Tremblant,H5Y 2S9,Female,College,,Single,Star,,Standard,,,,
134,287750,Canada,Ontario,Ottawa,K1F 2R2,Female,College,,Single,Star,,Standard,,,,
135,735846,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,95318.0,Married,Star,,Standard,,,,
136,606026,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,55207.0,Single,Star,,Standard,,,,
137,460291,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,55476.0,Divorced,Star,,Standard,,,,
138,743001,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,79533.0,Married,Star,,Standard,,,,
139,869799,Canada,Ontario,Toronto,P1W 1K4,Female,Bachelor,79533.0,Married,Star,,Standard,,,,
140,520321,Canada,Ontario,London,M5B 3E4,Female,Doctor,237245.0,Married,Star,,Standard,,,2016.0,
141,279419,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,College,,Single,Star,,Standard,,,,
142,170585,Canada,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,82675.0,Single,Star,,Standard,,,,
143,188340,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,82675.0,Single,Star,,Standard,,,,
144,670817,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,82675.0,Single,Star,,Standard,,,,
145,509513,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,,Single,Star,,Standard,,,,
146,779247,Canada,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,86987.0,Married,Star,,Standard,,,,
147,111255,Canada,Quebec,Hull,J8Y 3Z5,Male,High School or Below,70272.0,Married,Star,,Standard,,,,
148,763061,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,56845.0,Married,Star,,Standard,,,,
149,766335,Canada,Alberta,Edmonton,T9G 1W3,Male,Bachelor,67756.0,Married,Aurora,,2018 Promotion,,,,
150,428919,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,58209.0,Divorced,Star,,Standard,,,,
151,139863,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,67223.0,Married,Star,,Standard,,,,
152,695755,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,79088.0,Married,Star,,Standard,,,,
153,355331,Canada,Ontario,Thunder Bay,K8T 5M5,Male,College,,Divorced,Star,,Standard,,,,
154,578837,Canada,Ontario,Toronto,P5S 6R4,Male,College,,Single,Star,,Standard,,,,
155,603248,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,,Married,Star,,Standard,,,2016.0,
156,467182,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,102347.0,Married,Star,,Standard,,,2018.0,
157,601407,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,72809.0,Married,Star,,Standard,,,,
158,700871,Canada,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,74567.0,Married,Star,,Standard,,,,
159,203809,Canada,Alberta,Edmonton,T3G 6Y6,Female,High School or Below,54160.0,Married,Star,,Standard,,,,
160,705589,Canada,Ontario,Toronto,P1L 8X8,Female,College,,Single,Star,,Standard,,,,
161,354438,Canada,Quebec,Montreal,H2T 2J6,Male,College,,Married,Star,,Standard,,,,
162,746060,Canada,British Columbia,Victoria,V10 6T5,Male,College,,Married,Star,,Standard,,,,
163,469718,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,73544.0,Married,Star,,Standard,,,,
164,164429,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,57852.0,Single,Star,,Standard,,,,
165,708373,Canada,Ontario,Toronto,M2P 4F6,Female,Bachelor,57852.0,Single,Star,,Standard,,,,
166,225088,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,97991.0,Married,Star,,Standard,,,,
167,100214,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,63253.0,Married,Star,,Standard,,,,
168,459999,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,53465.0,Single,Star,,Standard,,,,
169,553936,Canada,Ontario,Toronto,P1J 8T7,Female,Bachelor,53465.0,Single,Star,,Standard,,,2015.0,
170,268128,Canada,Ontario,Toronto,P1W 1K4,Female,High School or Below,47663.0,Married,Star,,Standard,,,,
171,930584,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,,Single,Star,,Standard,,,,
172,327796,Canada,Quebec,Quebec City,G1B 3L5,Male,College,,Single,Star,,Standard,,,,
173,947467,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,49937.0,Married,Star,,Standard,,,,
174,743510,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,,Single,Star,,Standard,,,,
175,580324,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,61113.0,Married,Star,,Standard,,,,
176,845613,Canada,Quebec,Montreal,H2Y 4R4,Male,Bachelor,54297.0,Married,Star,,Standard,,,,
177,645919,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,66297.0,Divorced,Aurora,,2018 Promotion,,,,
178,423324,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,69599.0,Divorced,Star,,Standard,,,,
179,101945,Canada,Nova Scotia,Halifax,B3C 2M8,Male,Bachelor,86098.0,Married,Star,,Standard,,,,
180,713636,Canada,Ontario,London,M5B 3E4,Male,Doctor,48109.0,Married,Star,,Standard,,,,
181,302509,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,Doctor,74238.0,Married,Star,,Standard,,,,
182,789421,Canada,British Columbia,Vancouver,V1E 4R6,Female,College,,Single,Star,,Standard,,,,
183,914255,Canada,Ontario,Toronto,M8Y 4K8,Male,College,,Single,Star,,Standard,,,2016.0,
184,675879,Canada,Alberta,Edmonton,T3G 6Y6,Male,Bachelor,78617.0,Married,Aurora,,2018 Promotion,,,,
185,404426,Canada,British Columbia,Vancouver,V6E 3D9,Female,Doctor,99696.0,Married,Star,,Standard,,,,
186,260106,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,88876.0,Single,Star,,Standard,,,2017.0,
187,827194,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,71450.0,Married,Aurora,,2018 Promotion,,,,
188,438023,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,College,,Married,Star,,Standard,,,,
189,397518,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,76056.0,Married,Star,,Standard,,,2018.0,
190,645742,Canada,Ontario,Kingston,M9K 2P4,Male,Bachelor,76056.0,Married,Star,,Standard,,,2015.0,
191,872932,Canada,Quebec,Montreal,H2Y 2W2,Male,High School or Below,72685.0,Married,Star,,Standard,,,,
192,407945,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,75108.0,Married,Star,,Standard,,,,
193,211714,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Doctor,103572.0,Married,Star,,Standard,,,,
194,410982,Canada,Ontario,Trenton,K8V 4B2,Male,Master,132353.0,Married,Star,,Standard,,,,
195,905213,Canada,British Columbia,Vancouver,V6E 3D9,Female,Master,132353.0,Married,Star,,Standard,,,,
196,147898,Canada,Quebec,Tremblant,H5Y 2S9,Female,High School or Below,59849.0,Divorced,Star,,Standard,,,,
197,530105,Canada,Ontario,London,M5B 3E4,Male,College,,Single,Star,,Standard,,,2018.0,
198,610946,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,56947.0,Married,Star,,Standard,,,,
199,383108,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,64497.0,Married,Star,,Standard,,,,
200,836343,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,64497.0,Married,Star,,Standard,,,,
201,110262,Canada,Alberta,Edmonton,T9G 1W3,Male,Bachelor,52267.0,Married,Aurora,,2018 Promotion,,,,
202,585357,Canada,Quebec,Quebec City,G1B 3L5,Male,College,,Single,Star,,Standard,,,,
203,784804,Canada,Alberta,Banff,T4V 1D4,Female,College,,Single,Star,,Standard,,,,
204,719633,Canada,British Columbia,Victoria,V10 6T5,Male,Bachelor,52109.0,Divorced,Star,,Standard,,,,
205,715764,Canada,Manitoba,Winnipeg,R3R 3T4,Male,College,,Single,Star,,Standard,,,,
206,753473,Canada,Ontario,Toronto,M2M 7K8,Female,Doctor,70996.0,Single,Star,,Standard,,,,
207,980856,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Doctor,70996.0,Single,Star,,Standard,,,,
208,271660,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,,Married,Star,,Standard,,,,2.0
209,342980,Canada,Alberta,Peace River,T9O 2W2,Female,Bachelor,69086.0,Single,Aurora,,2018 Promotion,,,,
210,830547,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,51111.0,Single,Star,,Standard,,,,
211,264936,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,,Single,Star,,Standard,,,,
212,436498,Canada,Quebec,Montreal,H2T 9K8,Male,College,,Single,Star,,Standard,,,2016.0,
213,976513,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,92067.0,Married,Star,,Standard,,,,
214,828776,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,60899.0,Married,Star,,Standard,,,,
215,240362,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,58756.0,Married,Star,,Standard,,,,7.0
216,137845,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,88445.0,Married,Star,,Standard,,,,
217,430569,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,87462.0,Married,Star,,Standard,,,,
218,317001,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,61809.0,Married,Star,,Standard,,,,
219,625870,Canada,Ontario,Toronto,P1J 8T7,Female,Bachelor,61809.0,Married,Star,,Standard,,,,
220,660554,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,61809.0,Married,Star,,Standard,,,,
221,917630,Canada,Ontario,Toronto,P2T 6G3,Female,Bachelor,61809.0,Married,Star,,Standard,,,,
222,670686,Canada,Ontario,Thunder Bay,K8T 5M5,Female,College,,Single,Star,,Standard,,,,
223,717660,Canada,British Columbia,Vancouver,V1E 4R6,Male,College,,Single,Star,,Standard,,,,
224,450621,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,77083.0,Married,Star,,Standard,,,,
225,939562,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,95467.0,Married,Star,,Standard,,,,
226,135250,Canada,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,88089.0,Married,Star,,Standard,,,,
227,714555,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,64387.0,Divorced,Star,,Standard,,,,
228,947868,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,96733.0,Married,Star,,Standard,,,,
229,573661,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,86098.0,Single,Star,,Standard,,,,
230,228580,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,54643.0,Single,Star,,Standard,,,,
231,557500,Canada,Ontario,Toronto,M1R 4K3,Female,Bachelor,49606.0,Married,Star,,Standard,,,,
232,238233,Canada,Ontario,Toronto,M2Z 4K1,Male,Bachelor,85577.0,Married,Star,,Standard,,,,
233,979309,Canada,Quebec,Montreal,H2T 2J6,Male,Bachelor,63654.0,Single,Star,,Standard,,,,
234,342483,Canada,Alberta,Calgary,T3E 2V9,Male,College,,Single,Aurora,,2018 Promotion,,,,
235,833569,Canada,Saskatchewan,Regina,S6J 3G0,Female,College,,Single,Star,,Standard,,,,
236,120046,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,56411.0,Married,Star,,Standard,,,,
237,816881,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,56411.0,Married,Star,,Standard,,,,
238,717700,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,62093.0,Married,Star,,Standard,,,,
239,384146,Canada,Alberta,Peace River,T9O 2W2,Female,High School or Below,48890.0,Married,Nova,,2018 Promotion,,,2018.0,
240,245465,Canada,Ontario,Thunder Bay,K8T 5M5,Male,Doctor,69818.0,Married,Star,,Standard,,,,
241,510372,Canada,Ontario,Toronto,M2M 7K8,Female,College,,Divorced,Star,,Standard,,,,
242,709920,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,82427.0,Married,Star,,Standard,,,,
243,156031,Canada,Quebec,Montreal,H2Y 4R4,Female,Bachelor,84981.0,Married,Star,,Standard,,,2015.0,
244,143784,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,76159.0,Married,Star,,Standard,,,,
245,602176,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,76159.0,Married,Star,,Standard,,,2018.0,
